id,school,bars,arts_and_entertainment,population,population_density,crime_dom,education_dep,employment_dep,health_dep,income_dep,living_environment_dep,accidents_num
41801,-0.251562523,-0.221664024,-0.166413543,0.627134514,-0.328176893,-1.062900123,1.05037414,1.338913354,1.451778647,0.819712833,0.875098814,0
43448,-0.251562523,-0.221664024,-0.166413543,0.181358158,-0.310997596,-0.332533361,-0.859239827,-0.971110372,-1.370160878,-0.836568748,0.990266432,0
4740,-0.251562523,-0.221664024,-0.166413543,-0.963476575,-0.337840248,0.003667212,-0.549562816,-0.386966441,-0.249551452,-0.232513112,1.536822157,0
2111,-0.251562523,-0.221664024,0.291253826,-0.689931993,-0.344819337,-0.771415882,-0.100951608,-0.280758454,0.216234922,-0.407884103,2.44733662,0
38605,-0.251562523,-0.221664024,-0.166413543,-1.070868152,-0.336766542,0.601541138,-0.629724191,-0.811798391,-1.170538146,-0.60274076,0.868704649,0
3737,-0.251562523,-0.221664024,-0.166413543,-0.736535885,-0.337303395,-1.213610725,-0.940132435,-1.130422353,-1.041993205,-0.91451141,2.276365386,0
22252,-0.251562523,0.655490065,-0.166413543,-0.203630513,-0.328713746,-0.630642243,-0.583656537,-0.386966441,-0.300969429,-0.232513112,-1.054049618,0
21463,-0.251562523,-0.221664024,0.291253826,-0.238076868,0.629032074,1.058641425,-0.287598733,-0.413518438,-0.397756208,0.001314876,-1.307491039,0
42035,-0.251562523,-0.221664024,-0.166413543,-1.194469778,-0.334082276,0.929460909,0.762451299,0.303385477,0.610943505,0.624856177,0.259878483,0
7375,-0.251562523,-0.221664024,-0.166413543,-1.397095394,-0.33300857,-0.254693819,-0.639413023,-0.094894476,0.415857653,-0.290970109,1.111900875,0
6810,0.959600323,3.286952331,1.206588566,0.92499417,1.151926933,1.833724519,1.530428351,1.232705366,1.547053133,0.546913514,-0.112000299,5
14049,-0.251562523,-0.221664024,-0.166413543,0.552163036,-0.306702772,-0.122200982,0.66336928,-0.041790482,0.006026136,0.293599861,-0.846820566,0
19051,-0.251562523,0.21691302,-0.166413543,0.325222346,-0.342135072,-0.306034793,-0.829716311,-0.652486409,-0.654846089,-0.505312431,-0.21830328,1
22934,-0.251562523,-0.221664024,-0.166413543,-0.957397807,-0.329787452,1.106670078,-0.76198589,-0.944558375,-1.18566108,-0.875540079,0.874880831,1
26842,-0.251562523,-0.221664024,-0.166413543,-0.481227608,-0.317439832,1.124887843,-0.449109736,0.011313512,0.747049913,-0.310455775,-0.829236614,0
13400,-0.251562523,-0.221664024,-0.166413543,0.339406139,-0.344282484,-0.567708146,-0.040716322,0.568905445,-0.205694943,0.449485186,-0.119339056,0
37215,-0.251562523,-0.221664024,-0.166413543,-1.449778055,-0.317976685,-0.524647974,-0.723961794,-0.625934413,-1.022333391,-0.563769428,0.482802302,0
32928,-0.251562523,-0.221664024,-0.166413543,0.48124407,-0.343208778,-1.758487516,1.953903437,0.409593464,0.713779457,0.507942183,-0.119266395,0
27850,-0.251562523,-0.221664024,-0.166413543,-1.36264904,-0.337840248,-1.397444536,-0.516291732,-0.864902384,-0.901349917,-0.992454073,1.922869826,0
34126,2.170763169,5.041260508,3.037258044,0.718316042,6.040510697,0.223936553,-0.522598613,-0.679038406,0.102812915,-0.290970109,1.416277628,39
