id,bottom_left_longitude,bottom_left_latitude,top_right_longitude,top_right_latitude,school
95,-2.528671,51.99293807,-2.514308596,52.0019212,0
96,-2.528671,51.98395494,-2.514308596,51.99293807,0
97,-2.528671,51.97497181,-2.514308596,51.98395494,0
98,-2.528671,51.96598868,-2.514308596,51.97497181,0
99,-2.528671,51.95700555,-2.514308596,51.96598868,0
100,-2.528671,51.94802242,-2.514308596,51.95700555,0
101,-2.528671,51.93903929,-2.514308596,51.94802242,0
102,-2.528671,51.93005616,-2.514308596,51.93903929,0
103,-2.528671,51.92107302,-2.514308596,51.93005616,0
104,-2.528671,51.91208989,-2.514308596,51.92107302,0
105,-2.528671,51.90310676,-2.514308596,51.91208989,0
106,-2.528671,51.89412363,-2.514308596,51.90310676,0
107,-2.528671,51.8851405,-2.514308596,51.89412363,0
108,-2.528671,51.87615737,-2.514308596,51.8851405,0
109,-2.528671,51.86717424,-2.514308596,51.87615737,0
110,-2.528671,51.85819111,-2.514308596,51.86717424,0
111,-2.528671,51.84920798,-2.514308596,51.85819111,0
112,-2.528671,51.84022484,-2.514308596,51.84920798,0
113,-2.528671,51.83124171,-2.514308596,51.84022484,0
114,-2.528671,51.82225858,-2.514308596,51.83124171,0
115,-2.528671,51.81327545,-2.514308596,51.82225858,0
116,-2.528671,51.80429232,-2.514308596,51.81327545,0
117,-2.528671,51.79530919,-2.514308596,51.80429232,0
118,-2.528671,51.78632606,-2.514308596,51.79530919,0
119,-2.528671,51.77734293,-2.514308596,51.78632606,0
120,-2.528671,51.7683598,-2.514308596,51.77734293,0
121,-2.528671,51.75937667,-2.514308596,51.7683598,0
122,-2.528671,51.75039353,-2.514308596,51.75937667,0
123,-2.528671,51.7414104,-2.514308596,51.75039353,0
124,-2.528671,51.73242727,-2.514308596,51.7414104,0
125,-2.528671,51.72344414,-2.514308596,51.73242727,1
126,-2.528671,51.71446101,-2.514308596,51.72344414,0
127,-2.528671,51.70547788,-2.514308596,51.71446101,0
128,-2.528671,51.69649475,-2.514308596,51.70547788,0
129,-2.528671,51.68751162,-2.514308596,51.69649475,0
130,-2.528671,51.67852849,-2.514308596,51.68751162,0
131,-2.528671,51.66954535,-2.514308596,51.67852849,0
132,-2.528671,51.66056222,-2.514308596,51.66954535,0
133,-2.528671,51.65157909,-2.514308596,51.66056222,0
134,-2.528671,51.64259596,-2.514308596,51.65157909,0
135,-2.528671,51.63361283,-2.514308596,51.64259596,0
136,-2.528671,51.6246297,-2.514308596,51.63361283,0
137,-2.528671,51.61564657,-2.514308596,51.6246297,1
138,-2.528671,51.60666344,-2.514308596,51.61564657,4
139,-2.528671,51.59768031,-2.514308596,51.60666344,1
140,-2.528671,51.58869717,-2.514308596,51.59768031,1
141,-2.528671,51.57971404,-2.514308596,51.58869717,0
142,-2.528671,51.57073091,-2.514308596,51.57971404,0
143,-2.528671,51.56174778,-2.514308596,51.57073091,0
144,-2.528671,51.55276465,-2.514308596,51.56174778,0
145,-2.528671,51.54378152,-2.514308596,51.55276465,0
146,-2.528671,51.53479839,-2.514308596,51.54378152,0
147,-2.528671,51.52581526,-2.514308596,51.53479839,0
148,-2.528671,51.51683213,-2.514308596,51.52581526,0
149,-2.528671,51.507849,-2.514308596,51.51683213,0
150,-2.528671,51.49886586,-2.514308596,51.507849,0
151,-2.528671,51.48988273,-2.514308596,51.49886586,1
152,-2.528671,51.4808996,-2.514308596,51.48988273,3
153,-2.528671,51.47191647,-2.514308596,51.4808996,4
154,-2.528671,51.46293334,-2.514308596,51.47191647,2
155,-2.528671,51.45395021,-2.514308596,51.46293334,0
156,-2.528671,51.44496708,-2.514308596,51.45395021,2
157,-2.528671,51.43598395,-2.514308596,51.44496708,0
158,-2.528671,51.42700082,-2.514308596,51.43598395,0
159,-2.528671,51.41801768,-2.514308596,51.42700082,0
160,-2.528671,51.40903455,-2.514308596,51.41801768,0
161,-2.528671,51.40005142,-2.514308596,51.40903455,0
162,-2.528671,51.39106829,-2.514308596,51.40005142,0
163,-2.528671,51.38208516,-2.514308596,51.39106829,0
164,-2.528671,51.37310203,-2.514308596,51.38208516,0
165,-2.528671,51.3641189,-2.514308596,51.37310203,0
166,-2.528671,51.35513577,-2.514308596,51.3641189,0
167,-2.528671,51.34615264,-2.514308596,51.35513577,0
168,-2.528671,51.3371695,-2.514308596,51.34615264,0
169,-2.528671,51.32818637,-2.514308596,51.3371695,0
170,-2.528671,51.31920324,-2.514308596,51.32818637,0
171,-2.528671,51.31022011,-2.514308596,51.31920324,0
172,-2.528671,51.30123698,-2.514308596,51.31022011,0
173,-2.528671,51.29225385,-2.514308596,51.30123698,0
174,-2.528671,51.28327072,-2.514308596,51.29225385,0
175,-2.528671,51.27428759,-2.514308596,51.28327072,0
176,-2.528671,51.26530446,-2.514308596,51.27428759,0
177,-2.528671,51.25632133,-2.514308596,51.26530446,0
178,-2.528671,51.24733819,-2.514308596,51.25632133,0
179,-2.528671,51.23835506,-2.514308596,51.24733819,0
180,-2.528671,51.22937193,-2.514308596,51.23835506,0
181,-2.528671,51.2203888,-2.514308596,51.22937193,0
182,-2.528671,51.21140567,-2.514308596,51.2203888,0
183,-2.528671,51.20242254,-2.514308596,51.21140567,0
184,-2.528671,51.19343941,-2.514308596,51.20242254,0
185,-2.528671,51.18445628,-2.514308596,51.19343941,0
186,-2.528671,51.17547315,-2.514308596,51.18445628,0
187,-2.528671,51.16649001,-2.514308596,51.17547315,0
188,-2.528671,51.15750688,-2.514308596,51.16649001,0
189,-2.528671,51.14852375,-2.514308596,51.15750688,0
190,-2.528671,51.13954062,-2.514308596,51.14852375,0
191,-2.528671,51.13055749,-2.514308596,51.13954062,0
192,-2.528671,51.12157436,-2.514308596,51.13055749,0
193,-2.528671,51.11259123,-2.514308596,51.12157436,0
194,-2.528671,51.1036081,-2.514308596,51.11259123,0
195,-2.528671,51.09462497,-2.514308596,51.1036081,0
196,-2.528671,51.08564183,-2.514308596,51.09462497,1
