id,school,bars,arts_and_entertainment,population,population_density,crime_dom,education_dep,employment_dep,health_dep,income_dep,living_environment_dep,accidents_num
25358,0.959600323,-0.221664024,-0.166413543,1.034412003,-0.338377101,-1.273232501,-0.796536631,-0.413518438,-0.201158063,-0.563769428,-0.753741879,0
28925,-0.251562523,-0.221664024,-0.166413543,-0.884452585,-0.329787452,-0.11392018,-0.211367733,-0.174550466,0.63967708,-0.329941441,-0.692924657,0
978,-0.251562523,-0.221664024,-0.166413543,0.390062543,-0.33461913,-0.319284077,-0.404413142,-0.519726425,-0.418928316,-0.524798097,0.496535223,0
15354,-0.251562523,-0.221664024,-0.166413543,0.544058012,-0.345893043,1.355094147,-0.572596643,-0.7321424,-1.082825128,-0.329941441,0.766107377,0
40969,-0.251562523,-0.221664024,-0.166413543,0.169200621,-0.336766542,0.058320508,2.944632224,2.693065193,2.213974532,2.417537417,2.466228469,0
40164,3.381926015,0.655490065,-0.166413543,-0.331284652,-0.130078122,0.689317642,-0.397923453,-0.041790482,0.093739155,0.196171532,-1.580114953,0
34609,-0.251562523,-0.221664024,0.291253826,0.199594463,-0.271270471,-1.218579206,0.926156,0.356489471,0.238919323,-0.057142121,-1.177500585,0
9483,-0.251562523,-0.221664024,-0.166413543,0.242145843,-0.346966749,-1.056275481,-0.510624679,-0.705590403,-0.440100423,-0.329941441,1.375369509,0
22568,-0.251562523,-0.221664024,-0.166413543,2.418344964,-0.328713746,-1.763455997,0.014217528,-0.7321424,-1.441238669,-0.622226425,1.826448735,0
7048,-0.251562523,-0.221664024,-0.166413543,-1.322123916,-0.326029481,-1.286481785,-0.480644142,0.117521499,0.384099492,-0.174056115,-0.786293988,0
25688,-0.251562523,0.21691302,-0.166413543,0.309012296,-0.29220774,0.271965207,-0.175080314,-0.519726425,-1.108534116,-0.446855434,-1.214194369,0
9754,-0.251562523,-0.221664024,0.291253826,-0.750719678,1.849299029,1.784039705,1.230897192,3.861353054,2.666150265,4.132275995,0.862092502,7
14937,-0.251562523,-0.221664024,-0.166413543,0.199594463,-0.348577308,-0.465026197,-0.240525633,-0.094894476,0.300923353,-0.329941441,0.532429736,0
5459,-0.251562523,-0.221664024,-0.166413543,-0.442728741,0.019167023,-0.918814163,4.738528631,1.896505288,1.823802829,2.105766767,-1.215647588,3
